"Player","Pick","Age","Team","3PM","3P%","FTM","FTA","FT%","TOV","PF","ORB","DRB","RPG","APG","SPG","BPG","FGM/40","FGA/40","FG%/40","3PA/40","3P%/40","FTM/40","FTA/40","FT%/40","TOV/40","PF/40","ORB/40","DRB/40","REB/40","AST/40","STL/40","BLK/40","PTS/40","TS%","eFG%","Total S %","ORB%","DRB%","TRB%","AST%","TOV%","STL%","BLK%","USG%","PPR","PPS","ORtg","DRtg","eDiff","FIC","PER"
"Dakari Johnson",48,19,"UK",0,0,2.3,3.7,0.625,1.1,1.8,1.7,2.9,4.6,0.7,0.4,0.9,5,9.8,0.506,0,0,5.7,9.1,0.625,2.6,4.3,4.2,7.1,11.3,1.8,0.9,2.3,15.6,0.553,0.506,113.1,13.4,19.2,16.5,8.9,15.8,1.4,6.1,22,-3.7,1.6,113.9,81.5,32.3,230.5,20.9
"Darrun Hilliard",38,22,"VILL",2.3,0.387,2.3,2.9,0.796,1.2,2.2,0.5,2.7,3.1,2.1,1.8,0.3,6.8,15.3,0.44,8.1,0.387,3.3,4.1,0.796,1.7,3.1,0.6,3.7,4.3,2.9,2.5,0.5,19.9,0.576,0.543,162.4,2,10.8,6.6,15.9,8.8,3.8,1.3,25.2,0.7,1.3,119.5,91.5,28,326.6,21.9
"Delon Wright",20,23,"U of U",0.7,0.356,4.4,5.2,0.836,1.9,1.4,1,4,4.9,5.1,2.1,1,5.7,11.1,0.509,2.5,0.356,5.3,6.3,0.836,2.3,1.7,1.2,4.8,5.9,6.1,2.5,1.2,17.5,0.619,0.549,170.1,4,13.7,9.3,33,14.2,4,3.2,22.8,4.5,1.6,129.8,86.9,42.9,528.1,27.3
"Devin Booker",13,18,"UK",1.5,0.411,1.4,1.7,0.828,1,1.5,0.4,1.6,2,1.1,0.4,0.1,6.6,14.1,0.47,6.9,0.411,2.6,3.1,0.828,1.8,2.8,0.8,2.9,3.7,2.1,0.8,0.1,18.7,0.6,0.571,171,2.7,7.8,5.5,10.8,10.4,1.3,0.3,22.7,-1.1,1.3,122.9,90.8,32,198,18.2
"Dom Pointer",53,23,"STJ",0.1,0.08,3,4.2,0.725,2,3,1.9,5.7,7.7,3,1.9,2.4,6.1,11.7,0.524,0.9,0.08,3.5,4.8,0.725,2.3,3.5,2.2,6.6,8.9,3.4,2.2,2.8,15.8,0.566,0.527,132.9,6.3,17.2,11.9,18,14.2,3.2,7.4,21,-0.1,1.4,113.8,93.3,20.5,481,23.1
"Frank Kaminsky",9,22,"UW",1.1,0.416,4,5.1,0.78,1.6,1.7,1.5,6.7,8.2,2.6,0.8,1.5,8.1,14.9,0.547,3.1,0.416,4.8,6.1,0.78,1.9,2,1.8,8,9.8,3.1,1,1.7,22.3,0.628,0.59,174.3,6,25.5,16,18.4,9.8,1.7,4.5,28.6,0.5,1.5,129.7,91,38.6,643,32.4
"J.P. Tokoto",58,21,"UNC",0.3,0.375,1.9,3.1,0.615,2.2,2.4,1.6,4,5.6,4.3,1.5,0.3,4.2,9.8,0.428,1.2,0.375,2.6,4.2,0.615,3.1,3.3,2.2,5.5,7.7,5.9,2,0.5,11.4,0.484,0.45,141.8,6.4,14.2,10.5,24,20.7,2.9,1.3,17.9,2,1.2,103.8,97,6.8,345.4,15.1
"Jahlil Okafor",3,19,"DUKE",0,0,2.6,5.1,0.51,2.5,2.1,3.5,4.9,8.5,1.3,0.8,1.4,9.8,14.7,0.664,0,0,3.5,6.8,0.51,3.3,2.8,4.7,6.6,11.3,1.7,1,1.9,23,0.641,0.664,117.5,14.7,18.2,16.6,9.4,15.6,1.5,4.5,27.5,-5.4,1.6,119.9,94.7,25.2,540.8,28.5
"Jarell Martin",25,21,"LSU",0.4,0.269,4.2,6.2,0.69,2.8,2.8,3,6.3,9.2,1.8,1.2,0.7,7,13.7,0.509,1.8,0.269,4.8,7,0.69,3.2,3.2,3.4,7.1,10.5,2,1.3,0.8,19.3,0.565,0.526,146.8,9.7,18.1,14.1,10.5,15.7,1.9,1.8,24.8,-4.3,1.4,109.8,93.3,16.4,419.4,20.4
"Jerian Grant",19,22,"ND",1.3,0.316,4.5,5.7,0.78,2.2,2,0.3,2.7,3,6.7,1.7,0.5,5.8,12.1,0.478,4.5,0.316,4.8,6.2,0.78,2.3,2.1,0.4,2.9,3.3,7.2,1.8,0.5,17.8,0.592,0.536,157.4,1.3,8.3,5.1,33.6,13.4,2.8,1.4,24.2,6.3,1.5,125.6,102.9,22.6,531,23.9
"Joe Young",43,22,"UO",2.5,0.357,3.4,3.7,0.925,2.4,1.4,0.5,3.9,4.4,3.8,1.1,0,8,17.9,0.448,7.7,0.357,3.8,4.1,0.925,2.6,1.5,0.6,4.3,4.8,4.1,1.2,0,22.5,0.568,0.524,173,1.7,11.5,6.9,21.3,11.7,1.8,0.1,28.7,0.2,1.3,115.1,105.1,9.9,440,21.9
"Jordan Mickey",33,20,"LSU",0,0.111,3.1,4.7,0.646,3.3,2.6,3.2,6.7,9.9,1.3,0.9,3.6,7.1,14,0.504,0.3,0.111,3.5,5.4,0.646,3.7,3,3.7,7.7,11.4,1.5,1.1,4.1,17.7,0.533,0.505,126.1,10.4,19.6,15.3,7.8,18.4,1.5,9.6,25,-6.5,1.3,99.6,88.9,10.7,433.9,20.4
"Josh Richardson",40,21,"UT",1.4,0.359,3.1,3.9,0.798,2.7,2.5,0.9,3.6,4.5,3.6,2.1,0.5,6.3,13.7,0.461,4.4,0.359,3.4,4.3,0.798,2.9,2.7,1,4,4.9,4,2.3,0.6,17.7,0.56,0.519,161.9,2.9,13.2,7.8,24.4,15.7,3.7,2,25.5,-0.8,1.3,112.9,101.9,11,355,21.7
"Justin Anderson",21,21,"UVA",1.8,0.452,2.5,3.2,0.78,1.2,1.2,0.7,3.4,4,1.7,0.7,0.5,5.7,12.2,0.466,5.7,0.452,3.5,4.5,0.78,1.7,1.7,0.9,4.9,5.8,2.5,0.9,0.8,17.5,0.61,0.572,169.8,3.1,14.4,9,13.7,10.7,1.6,2.4,23.2,-0.2,1.4,124,89,35.1,233,22.5
"Justise Winslow",10,19,"DUKE",1.2,0.418,2.6,4,0.641,1.8,2.8,1.3,5.2,6.5,2.1,1.3,0.9,6.1,12.5,0.486,3.9,0.418,3.5,5.5,0.641,2.5,3.8,1.7,7.2,8.9,2.9,1.8,1.2,17.3,0.572,0.551,154.5,5.4,19.8,13.1,13.2,14.2,2.8,2.9,22.9,-1.4,1.4,115.2,91.9,23.2,410.8,21.2
"Karl-Anthony Towns",1,19,"UK",0.1,0.25,2.8,3.4,0.813,1.4,2.9,2.4,4.3,6.7,1.1,0.5,2.2,7.1,12.5,0.566,0.4,0.25,5.3,6.5,0.813,2.6,5.6,4.5,8.2,12.7,2.1,0.9,4.2,19.5,0.627,0.57,163,14.2,22.4,18.6,11.6,14.2,1.4,11.2,23.7,-2.9,1.6,126.8,77.3,49.6,415,29
"Kelly Oubre, Jr.",15,19,"KU",0.9,0.358,2.2,3.1,0.718,1.2,2,1.1,3.8,5,0.8,1.1,0.4,5.8,13.1,0.444,5,0.358,4.2,5.8,0.718,2.3,3.8,2.2,7.3,9.5,1.5,2.2,0.7,17.6,0.555,0.512,152,6.4,19.2,13.2,8.1,12.5,3.3,1.8,23.1,-3.2,1.3,111.9,91.6,20.3,253.8,20.2
"Kevon Looney",30,19,"UCLA",0.6,0.415,2.6,4.1,0.626,1.2,2.9,3.4,5.8,9.2,1.4,1.3,0.9,5.4,11.5,0.47,1.9,0.415,3.3,5.3,0.626,1.6,3.7,4.4,7.5,11.9,1.8,1.7,1.2,15,0.532,0.505,151.1,12.3,21,16.6,9.1,10.3,2.5,3.3,19.7,-1,1.3,116.3,96.1,20.2,430.9,20.7
"Larry Nance, Jr.",27,22,"UW",0.5,0.333,3.7,4.7,0.786,2.3,2.2,1.4,5.8,7.2,2.5,1.2,1.2,6.8,13.3,0.514,1.6,0.333,4.2,5.4,0.786,2.6,2.6,1.6,6.7,8.3,2.8,1.4,1.4,18.4,0.581,0.533,163.3,6.1,20.9,14.2,20,14,2.4,4.3,28.6,-2,1.4,110.4,88.4,22,398.1,24.1
