"","Player","Pick","Age","ThreePM","ThreeP_Perc","FTM","FTA","FT_Perc","TOV","PF","ORB","DRB","RPG","APG","SPG","BPG","FGMForty","FGAForty","ThreePAForty","FTMForty","FTAForty","TOVForty","PFForty","ORBForty","DRBForty","REBForty","ASTForty","STLForty","BLKForty","PTSForty","TS_Perc","eFG_Perc","Total S _Perc","ORB_Perc","DRB_Perc","TRB_Perc","AST_Perc","TOV_Perc","STL_Perc","BLK_Perc","USG_Perc","PPR","PPS","ORtg","DRtg","eDiff","FIC","PER","WS","WS/48","BPM","VORP","AVG_Raptor","AVG_WAR"
"205","Jerian Grant",19,22,1.3,0.316,4.5,5.7,0.78,2.2,2,0.3,2.7,3,6.7,1.7,0.5,5.8,12.1,4.5,4.8,6.2,2.3,2.1,0.4,2.9,3.3,7.2,1.8,0.5,17.8,0.592,0.536,157.4,1.3,8.3,5.1,33.6,13.4,2.8,1.4,24.2,6.3,1.5,125.6,102.9,22.6,531,23.9,8.3,0.082,-1.475,0.7,-1.6,0.85
"206","Joe Young",43,22,2.5,0.357,3.4,3.7,0.925,2.4,1.4,0.5,3.9,4.4,3.8,1.1,0,8,17.9,7.7,3.8,4.1,2.6,1.5,0.6,4.3,4.8,4.1,1.2,0,22.5,0.568,0.524,173,1.7,11.5,6.9,21.3,11.7,1.8,0.1,28.7,0.2,1.3,115.1,105.1,9.9,440,21.9,0.3,0.004,-4.46666666666667,-0.6,-5.8,-0.333333333333333
"207","Jordan Mickey",33,20,0,0.111,3.1,4.7,0.646,3.3,2.6,3.2,6.7,9.9,1.3,0.9,3.6,7.1,14,0.3,3.5,5.4,3.7,3,3.7,7.7,11.4,1.5,1.1,4.1,17.7,0.533,0.505,126.1,10.4,19.6,15.3,7.8,18.4,1.5,9.6,25,-6.5,1.3,99.6,88.9,10.7,433.9,20.4,0.5,0.0526666666666667,-3.93333333333333,-0.4,-5.13333333333333,-0.3
"208","Josh Richardson",40,21,1.4,0.359,3.1,3.9,0.798,2.7,2.5,0.9,3.6,4.5,3.6,2.1,0.5,6.3,13.7,4.4,3.4,4.3,2.9,2.7,1,4,4.9,4,2.3,0.6,17.7,0.56,0.519,161.9,2.9,13.2,7.8,24.4,15.7,3.7,2,25.5,-0.8,1.3,112.9,101.9,11,355,21.7,15.7,0.09425,-0.125,4.2,1.1,4.35
"209","Justin Anderson",21,21,1.8,0.452,2.5,3.2,0.78,1.2,1.2,0.7,3.4,4,1.7,0.7,0.5,5.7,12.2,5.7,3.5,4.5,1.7,1.7,0.9,4.9,5.8,2.5,0.9,0.8,17.5,0.61,0.572,169.8,3.1,14.4,9,13.7,10.7,1.6,2.4,23.2,-0.2,1.4,124,89,35.1,233,22.5,4.6,0.0784,-1.24,0.6,-1.8,0.4
"210","Justise Winslow",10,19,1.2,0.418,2.6,4,0.641,1.8,2.8,1.3,5.2,6.5,2.1,1.3,0.9,6.1,12.5,3.9,3.5,5.5,2.5,3.8,1.7,7.2,8.9,2.9,1.8,1.2,17.3,0.572,0.551,154.5,5.4,19.8,13.1,13.2,14.2,2.8,2.9,22.9,-1.4,1.4,115.2,91.9,23.2,410.8,21.2,7.8,0.04675,-2.025,0.5,-0.9,2.025
"211","Karl-Anthony Towns",1,19,0.1,0.25,2.8,3.4,0.813,1.4,2.9,2.4,4.3,6.7,1.1,0.5,2.2,7.1,12.5,0.4,5.3,6.5,2.6,5.6,4.5,8.2,12.7,2.1,0.9,4.2,19.5,0.627,0.57,163,14.2,22.4,18.6,11.6,14.2,1.4,11.2,23.7,-2.9,1.6,126.8,77.3,49.6,415,29,45.4,0.19475,4.5,18.2,2.6,7.75
"212","Kelly Oubre, Jr.",15,19,0.9,0.358,2.2,3.1,0.718,1.2,2,1.1,3.8,5,0.8,1.1,0.4,5.8,13.1,5,4.2,5.8,2.3,3.8,2.2,7.3,9.5,1.5,2.2,0.7,17.6,0.555,0.512,152,6.4,19.2,13.2,8.1,12.5,3.3,1.8,23.1,-3.2,1.3,111.9,91.6,20.3,253.8,20.2,8.2,0.0558,-2.6,-0.4,NA,NA
"213","Kevon Looney",30,19,0.6,0.415,2.6,4.1,0.626,1.2,2.9,3.4,5.8,9.2,1.4,1.3,0.9,5.4,11.5,1.9,3.3,5.3,1.6,3.7,4.4,7.5,11.9,1.8,1.7,1.2,15,0.532,0.505,151.1,12.3,21,16.6,9.1,10.3,2.5,3.3,19.7,-1,1.3,116.3,96.1,20.2,430.9,20.7,10.3,0.1715,-0.975,1.3,-1.9,2.575
"214","Larry Nance, Jr.",27,22,0.5,0.333,3.7,4.7,0.786,2.3,2.2,1.4,5.8,7.2,2.5,1.2,1.2,6.8,13.3,1.6,4.2,5.4,2.6,2.6,1.6,6.7,8.3,2.8,1.4,1.4,18.4,0.581,0.533,163.3,6.1,20.9,14.2,20,14,2.4,4.3,28.6,-2,1.4,110.4,88.4,22,398.1,24.1,16.4,0.1458,1.22,4.7,NA,NA
